속성,순서,책이름,저자,옮긴이,분류,별점,완독일,한줄평,파일과 미디어
No,1,래버리지,롭무어,김유미,자기계발,★★★★★,2022년 11월 22일,돈을 버는 방법에 대한 새로운 패러다임을 일깨워주는 책,
No,2,사피엔스,유발 하라리,조현욱,인문,★★★★★,2022년 11월 26일,인류의 탄생부터 현재까지를 보며 완전히 새로운 시각으로 세상을 바라보게 만드는 책,
No,3,파피용,베르나르 베르베르,전미연,소설,★★★★☆,2022년 12월 4일,기발한 상상력과 인간의 추악한 역사를 되풀이하는 과정을 설명한 소설,
No,4,메모 독서법,신정철,신정철,자기계발,★★★★☆,2022년 12월 8일,독서는 양이 아니라 이해하는것이 중요한것 독서 노트를 통해 책을 완벽히 이해하자,
No,5,아내를 모자로 착각한 남자,올리버 색스,조석혀,인문,★★★☆☆,2022년 12월 12일,우리와 조금 다른 사람들의 이야기를 통해 진정한 인간의 뇌에 관해 연구한 이야기,
No,6,지리의 힘,팀 마샬,김미선,사회 정치,★★★☆☆,2022년 12월 27일,지리가 인류 역사와 사회 정치에 끼치는 영향이 얼마나 위대한가에 대해 서술한 책,
No,7,트렌드 코리아 2023,김난도 팀,김난도 팀,머니 트렌드,★★★☆☆,2023년 1월 5일,2023년의 트렌드를 알아보고 앞으로 변화할 기술 및 산업에 대해서도 설명한다,
No,8,스틱,"칩히스, 댄히스","안진환, 박슬라",자기계발,★★★★☆,2023년 1월 13일,누구에게나 기억에 착 달라붙는 메시지를 쓰는 Succes 방법을 설명한다,
No,9,부자 아빠 가난한 아빠,로버트 기요사키,안진환,자기계발,★★★★★,2023년 1월 24일,우리들과 부자들의 모습에 차이를 설명하며 부자가 되는 방법에 대한 생각을 바꾸는 책,
No,10,부자들의 음모,로버트 기요사키,윤영삼,자기계발,★★★★☆,2023년 1월 26일,우리가 잘못알고 있는 부에 대한 생각을 깨우치게 하고 부자들이 꾸며놓은 음모들에 대한 이야기,
No,11,Keep Going,주언규,주언규,자기계발,★★★☆☆,2023년 1월 27일,아무런 능력도 없던 자신이 성공 할 수 있었던 비결을 통해 부를 얻기 위한 방법을 소개하는 책,
No,12,기분이 태도가 되지 않게,레몬 심리,박영란,심리,★★★★☆,2023년 1월 28일,기분에 따른 우리의 심리적 변화와 일상에서 흔히 겪는 문제들을 해결하는 방법을 설명한 책,
No,13,인간관계론,데일 카네기,임상훈,심리,★★★★☆,2023년 1월 31일,인간관계를 효과적으로 그리고 인생에 잘 적용하는 방법에 대한 이론을 설명한 책,
No,14,부의 추월차선,엠제이 드마코,신소영,자기계발,★★★★☆,2023년 2월 2일,진정한 부를 얻기 위한 방법인 부의 추월차선을 달리는 방법에 대해서 소개한다,
No,15,하마터면 열심히 살 뻔 했다,하완,하완,에세이,★☆☆☆☆,2023년 2월 4일,"한심한 자신의 이야기를 통해 사람들에게 노력, 열정에 대한 마음을 내려 놓으라고 말하는 책",
No,16,영화를 빨리 감기로 보는 사람들,아나다 도요시,황미숙,머니 트렌드,★★★★☆,2023년 2월 5일,OTT의 시대  빨리 감기를 이용해 보는 사람들의 심리와 트렌드를 분석한다,
No,17,생각 정리 스킬,복주환,복주환,자기계발,★★★☆☆,2023년 2월 5일,생각을 어떻게 잘 정리할수 있는지 몇가지 비법을 알려주고 독서를 효과적으로 할 수 있는 방법을 소개 한다,
No,18,역행자,자청,자청,자기계발,★★★★★,2023년 2월 6일,순리자로 살아가면 안되는지를 잘 설명한 인생의 치트키를 쉽고 명확하게 써낸 고마운 책,
No,19,나는 4시간만 일한다,팀 페리스,"최원형, 윤동준",자기계발,★★★★☆,2023년 2월 7일,이 책을 읽고 당장 회사를 그만두고 장기여행을 떠난 뒤 내 사업을 시작하려 했다,
No,20,돈의 속성,김승호,김승호,자기계발,★★★★★,2023년 2월 8일,돈에 대한 우리의 현명한 태도를 배울수 있게 만들어 준 책 무슨일이 있어도 꼭 다시 읽고 싶은 책,
No,21,12가지 인생의 법칙,조던B. 피터슨,강주현,인문,★★☆☆☆,2023년 2월 9일,인생에 필요한 중요한 법칙을 여러 종교적 관점과 심리학적 관점에서 잘표현한 책,
No,22,지적 대화를 위한 넓고 얕은 지식 1,채사장,채사장,인문,★★★★★,2023년 2월 12일,"역사, 경제, 정치, 윤리를 '생산수단'이라는 하나의 관점으로 얕지만 쉽고 재미있게 잘 써낸 책이다. 완벽한 생활 지침서",
No,23,지적 대화를 위한 넓고 얕은 지식 2,채사장,채사장,인문,★★★★☆,2023년 2월 15일,"종교, 예술, 척학, 과학을 '의식'이라는 하나의 관점으로 얕지만 쉽고 재미있게 잘 써낸 책이다. 완벽한 생활 지침서",
No,24,지적 대화를 위한 넓고 얕은 지식 0,채사장,채사장,인문,★★★★☆,2023년 2월 16일,우주탄생부터 지금까지를 보며 일원론과 이원론의 세상을 알려준 책 세상을 보는 눈을 바꾸게 해준 책. 근데 좀 어렵다,
No,25,이기는 습관,보도섀퍼,박성원,자기계발,★★★★☆,2023년 2월 16일,인생을 살아가는데 필요한 당장 실천 가능한 습관 만들기를 잘 알려주는 책,
No,26,2년만에 경제적 자유를 얻은 실천 독서법,낙숫물,낙숫물,자기계발,★★★★★,2023년 2월 17일,나 처럼 뒤늦게 책읽기를 시작해서 성공한 사람의 사례로 책읽기를 해야하는 완벽한 이유를 설명해준 고마운 책,
No,27,설득의 심리학 2,로버트치알디니,윤미나,자기계발,★★★☆☆,2023년 2월 19일,설득의 기법을 실험을 통해 과학적인 방법으로 풀이하여 상세하게 알려주는 조금 어렵지만 재밌는 책,
No,28,당신의 뇌는 최적화를 원한다,가바사와시온,오시연,자기계발,★★★★★,2023년 2월 20일,7가지의 뇌에서 분비되는 호르몬을 어떻게 활용해서 우리의 삶에 적용할 수 있는지 알려주는 유익한 책,
No,29,빅터 프랭클의 죽음의 소용소에서,빅터프랭클,이시형,자기계발,★★★★★,2023년 2월 20일,자신이 끔찍한 수용소에 겪은 실화로 인간은 어떻게 고난을 극복하고 삶을 살아가야 하는지 방향을 제시하는 심리학 책,
No,30,웰씽킹(WEALTHINKING),켈리 최,켈리 최,자기계발,★★★★★,2023년 2월 21일,진정한 부자란 무엇인가를 깨우치게 만들어주고 왜 부자가 되어야 하는가를 확실하게 알려주는 자기계발 입문도서,
No,31,원숭이도 이해하는 자본론,임승수,임승수,경제경영,★★★★☆,2023년 2월 21일,"어려운 주제를 아주 쉽고 간단하게 적은 책, 자본론 외에도 국내의 자본주의에 대한 문제들도 지목한다",
No,32,자본주의 설명서,정지은,고희정,경제경영,★★★☆☆,2023년 2월 22일,내 아이에게 자본주의를 설명해주는 방법은 뭐가 있을까? 언제부터 어떻게 해야 할까 이 고민을 해결해주는 책이다.,
No,33,시크릿,론다번,김우열,자기계발,★★☆☆☆,2023년 2월 23일,세상의 비밀에는 끓어들임의 법칙이 있다. 생각만으로 모든걸 바꿀수 있다고 말하는 책이다. 똑같은말 계속 반복.,
No,34,CHAT-GPT,이임복,이임복,IT,★★★★☆,2023년 2월 24일,독특하게 Chat GPT와 대화하면서 Chat GPT와 인공지능에 대한 궁금증을 해소하는 책. 신기술에 대한 설명이 유익하다.,
No,35,나미야 잡화점의 기적,히가시노 게이고,양윤옥,소설,★★★★★,2023년 2월 26일,"남을 돕는다는것에 기쁨을 아는 사람은 자신에 대해서도 소중함을 아는 사람이 된다는 교훈을 얻은 책이다. ",
No,36,김미경의 마흔 수업,김미경,김미경,자기계발,★★★★☆,2023년 2월 27일,곧 마흔에 가까워지는 나로써 마음이 무거웠는데 제2의 인생일 준비할 나이라는걸 깨닳게 되었다.,
No,37,메타버스,김상균,김상균,IT,★★★★☆,2023년 2월 28일,메타버스에 대해 알고 싶다면 한번쯤 읽어볼만한 유익한 책. 지식기반의 내용보다 잘 알고 있는것들이 많이 나와서 쉽다.,
No,38,알아두면 쓸데있는 신 잡학상식,편집부,편집부,인문,★★★☆☆,2023년 3월 1일,딱히 쓸데있는 상식인지까지는 잘모르겠지만 나름 흥미롭고 신기한 지식들을 습득한것 같아서 재밌었다,
No,39,지리의 힘2,팀마샬,김미선,사회정치,★★★★☆,2023년 3월 2일,"이번 책에서는 영국, 아프리카, 오스트레일리아의 대한에 대한 현재 상황과 앞으로의 미래에 대한 이야기였다. ",
No,40,다윈의 종의 기원,김원섭,김원섭,인문,★★★☆☆,2023년 3월 4일,원작이 워낙 방대한 내용이고 어려운 내용이 많다보니 가볍게 접근하기에 핵심만 잘 정리된 책이라고 보인다.,
No,41,타이탄의 도구들,팀 페리스,박선령,자기계발,★★★★★,2023년 3월 6일,세계 유명인사들과 인터뷰하면서 그 위대한 거인들의 삶의 방법을 글로 남긴 자기 계발서 실천에 옮길수 있는 배울것들이 많다.,
